Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NAUG;Forchheim Augrabenbrücke;Augrabenbrücke;Abzw;;DE 13242;0080;7;20081214;;226142;J;N;
NAUR;Außenried;Außenried;Hp;;DE 10375;0080;7;20081214;;264762;J;N;
NAVE;Fürth Alte Veste;Alte Veste;Hp;;DE 13516;0080;7;20081214;;227645;J;N;
NAWN;Anwanden;Anwanden;Hp;;DE 10260;0080;7;20081214;;227165;J;N;
NAZ;Arzberg (Oberfr);Arzberg (Oberfr);Bf;;DE 10294;0080;7;20081214;;260737;J;N;
NBA;Bamberg;Bamberg;Bf;;DE 10612;0080;7;20081214;;220905;J;N;
NBA B;Bamberg Bahnhof;Bamberg Bahnhof;Bush;; ;0080;;20150707;;;N;N;
NBAB;Bad Abbach;Bad Abbach;Bf;;DE 10395;0080;7;20081214;;263160;J;N;
NBAD;Bamberg Denscheilmann und Wellein;Densch-Wel;Anst;a.B.;DE 10614;0080;7;20080101;;224329;N;N;
NBAF;Balbersdorf;Balbersdorf;Hp;;DE 10596;0080;7;20081214;;262527;J;N;
NBAU;Baunach;Baunach;Hp Anst;;DE 10685;0080;7;20081214;;220756;J;N;
NBAUR;Baunach Raiffeisenbank;Baunach Raiffeis;Bush;; ;0080;;20151008;20181231;;N;N;
NBAW;Weiden Bayernwerk;Bayernw Weiden;Awanst;;DE 20871;0080;7;20100212;;266908;J;N;
NBB;Bad Brückenau;Bad Brückenau;Bf;a.B.;DE 10420;0080;7;20050406;;228460;N;N;
NBB B;Bad Brückenau                     (Bush);Bad Brückenau  B;Bush;; ;0080;;19990101;;;;;
NBBN;Bieberehren;Bieberehren;Bf;ehemals;DE 11219;0080;7;20080101;;226852;N;N;
NBD;Baiersdorf;Baiersdorf;Bf;;DE 10594;0080;7;20081214;20160814;221614;J;N;
NBD;Baiersdorf;Baiersdorf;Hp Abzw;;DE 10594;0080;7;20160815;;221614;J;N;
NBE;Beratzhausen;Beratzhausen;Bf;;DE 10781;0080;7;20081214;;263020;J;N;
NBEB;Burgebrach;Burgebrach;Bf;a.B.;DE 11845;0080;7;20090127;;221085;N;N;
NBEH;Behringersdorf;Behringersdorf;Hp;;DE 10742;0080;7;20081214;;223214;J;N;
NBEI;Bayerisch Eisenstein;Bay Eisenstein;Bf;;DE 10693;0080;7;20081214;;264820;J;J;
NBER;Behringersmühle;Behringersmühle;NE-Bf;; ;0080;;20090214;;912596;J;N;
NBERB;Behringersmühle Bus;Behringersm Bus;Bush;; ;0080;;19990101;;;;;
NBF;Burglengenfeld;Burglengenfeld;Bf;;DE 11857;0080;7;20081214;;262758;J;N;
NBFL;Baunach Flüssiggas;Baunach Flüssigg;Anst;;DE 10686;0080;7;20081214;;314351;J;N;
NBG;Breitengüßbach;Breitengüßbach;Bf;;DE 11621;0080;7;20081214;;220616;J;N;
NBG O;Breitengüßbach Ortsmitte;Breitengüßb Ort;Bush;; ;0080;;20150918;20171231;;N;N;
NBH;Batzhausen;Batzhausen;Hp;;DE 10680;0080;7;20081214;;263061;J;N;
NBHF;Böhmhof;Böhmhof;Hp;;DE 11439;0080;7;20081214;;264788;J;N;
NBHG;Bayreuth-St Georgen BHG;Bayreuth-SG BHG;NE-Anst;; ;0080;;20081214;;222430;J;N;
NBHM;Bergtheim;Bergtheim;Hp;;DE 10818;0080;7;20081214;;224766;J;N;
NBI;Bindlach;Bindlach;Bf;;DE 11271;0080;7;20081214;;222471;J;N;
NBIM;Bischofsheim (Rhön);Bischofsh (Rhön);Bf Bush;ehemals;DE 11299;0080;7;20080101;;224584;N;N;
NBIN;Bischofsgrün;Bischofsgrün;Bf;ehemals;DE 11298;0080;7;20080101;;220137;N;N;
NBK;Burgkunstadt;Burgkunstadt;Hp;;DE 11855;0080;7;20091213;;220202;J;N;
NBKG;Bad Königshofen im Grabfeld;Bad Königsh i G;Bf;ehemals;DE 10467;0080;7;20080101;;224519;N;N;
NBKI;Bad Kissingen;Bad Kissingen;Bf;;DE 10462;0080;7;20081214;;225516;J;N;
NBLA;Blaibach (Oberpf);Blaibach(Oberpf);Hp;;DE 11315;0080;7;20081214;;262618;J;N;
NBM;Buchbrunn-Mainstockheim;Buchbrunn-Mains;Hp;;DE 11766;0080;7;20081214;;225284;J;N;
NBMA;Bodenmais;Bodenmais;Hp;;DE 11426;0080;7;20081214;;264796;J;N;
NBMS;Bettmannsäge;Bettmannsäge;Hp;;DE 11191;0080;7;20081214;;264663;J;N;
NBN;Burgsinn;Burgsinn;Bf;;DE 11858;0080;7;20081214;;225987;J;N;
NBNB;Burgsinn Bbf;Burgsinn Bbf;Bf;;DE 11859;0080;7;20081214;;229039;J;N;
NBNE;Bad Neustadt (Saale);Bad Neust/Saale;Bf;;DE 10501;0080;7;20081214;;224444;J;N;
NBNEB;Bad Neustadt (Saale) Busbf;B Neustadt (S) B;Bush;; ;0080;;19990101;;;;;
NBO;Bogen;Bogen;Hp;;DE 11431;0080;7;20131215;;264002;J;N;
NBOB;Böbrach;Böbrach;NE-Hp;; ;0080;;20081214;;455063;J;N;
NBOE;Bodenwöhr Nord;Bodenwöhr Nord;Bf;;DE 11428;0080;7;20081214;;262287;J;N;
NBR;Bergrheinfeld;Bergrheinfeld;Awanst;;DE 10816;0080;7;20081214;;224733;J;N;
NBRE;Miltenberg-Breitendiel;Breitendiel;Hp;;DE 17048;0080;5;20091213;;226431;J;N;
NBRU;Bamberg Bruckertshof;Bruckertshof;Anst;a.B.;DE 10613;0080;7;20090127;;220947;N;N;
